Output_node,Output_values,EMBF,Out_bin,Status
y0,[-1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1],0,0001011101111111,Essential Monotone Boolean Function
y0,[-1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1],0,0000000100010111,Essential Monotone Boolean Function
y1,[-1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1],0,0001011101111111,Essential Monotone Boolean Function
y1,[-1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1],0,0000000100010111,Essential Monotone Boolean Function
y2,[-1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1],0,0001011101111111,Essential Monotone Boolean Function
y2,[-1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1],0,0000000100010111,Essential Monotone Boolean Function
y3,[-1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1],0,0001011101111111,Essential Monotone Boolean Function
y3,[-1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1],0,0000000100010111,Essential Monotone Boolean Function
y4,[-1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1],0,0001011101111111,Essential Monotone Boolean Function
y4,[-1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1],0,0000000100010111,Essential Monotone Boolean Function
