states,flag,init,Avg0,SD0,frust0,time
'0010111',0,'0000000',0.0002962962962962963,8.586683792125652e-5,0.5102040816326531,1000.0
'1111000',0,'1010110',0.0002222222222222222,3.9283710065919315e-5,0.5102040816326531,1000.0
'0110001',0,'0011001',0.00011111111111111113,3.928371006591931e-5,0.5102040816326531,1000.0
'1001110',0,'0001111',0.0002222222222222222,3.928371006591931e-5,0.5102040816326531,1000.0
'0011011',0,'1101100',0.0002777777777777778,3.92837100659193e-5,0.5102040816326531,1000.0
'0011101',0,'1001100',0.00021296296296296298,5.237828008789241e-5,0.5102040816326531,1000.0
'0010110',0,'0001101',0.0001388888888888889,2.268046058132572e-5,0.5102040816326531,1000.0
'1011100',0,'0101101',0.00021296296296296298,5.707790743489793e-5,0.5102040816326531,1000.0
'0011100',0,'0100101',0.00018518518518518518,2.6189140043946213e-5,0.5102040816326531,1000.0
'1010110',0,'1110010',0.00024074074074074072,7.290748031492417e-5,0.5102040816326531,1000.0
'1001011',0,'0101011',0.0001574074074074074,1.30945700219731e-5,0.5102040816326531,1000.0
'0110010',0,'0111001',0.0002037037037037037,3.464497580346242e-5,0.5102040816326531,1000.0
'0101001',0,'0110110',0.0002962962962962963,0.0001163870841664494,0.5102040816326531,1000.0
'1110010',0,'1001001',0.0002314814814814815,5.707790743489793e-5,0.5102040816326531,1000.0
'1001101',0,'1111111',0.00024074074074074072,3.464497580346243e-5,0.5102040816326531,1000.0
'1101000',0,'1100110',0.00023148148148148146,3.464497580346242e-5,0.5102040816326531,1000.0
'0011101',0,'0101101',0.00018518518518518518,8.586683792125652e-5,0.5102040816326531,1000.0
'0000111',0,'1001110',0.00016666666666666666,2.268046058132572e-5,0.5102040816326531,1000.0
'1110100',0,'1010010',0.0001388888888888889,4.5360921162651446e-5,0.5102040816326531,1000.0
'0010110',0,'1010100',0.00025,0.00012001371663718261,0.5102040816326531,1000.0
'1011001',0,'0011011',0.00017592592592592595,4.721314364437763e-5,0.5102040816326531,1000.0
'1011000',0,'0010111',0.00014814814814814815,2.61891400439462e-5,0.5102040816326531,1000.0
'1001001',0,'1001110',0.00025,0.00011340230290662861,0.5102040816326531,1000.0
'0110101',0,'1110010',0.00025925925925925926,7.290748031492417e-5,0.5102040816326531,1000.0
'0101110',0,'0110100',0.00018518518518518518,1.30945700219731e-5,0.5102040816326531,1000.0
'1010101',0,'1010100',0.0001574074074074074,4.7213143644377646e-5,0.5102040816326531,1000.0
'0100101',0,'0110100',0.00018518518518518518,0.00010475656017578481,0.5102040816326531,1000.0
'0100011',0,'1011000',0.00019444444444444443,4.5360921162651446e-5,0.5102040816326531,1000.0
'1101001',0,'1010110',0.00030555555555555555,0.00013608276348795435,0.5102040816326531,1000.0
'1000111',0,'0100111',0.0002685185185185185,2.61891400439462e-5,0.5102040816326531,1000.0
'0111001',0,'0001111',0.00024074074074074072,2.61891400439462e-5,0.5102040816326531,1000.0
'1100110',0,'0101110',0.00025,2.268046058132572e-5,0.5102040816326531,1000.0
'1010100',0,'1101000',0.0003425925925925925,2.61891400439462e-5,0.5102040816326531,1000.0
'0101101',0,'0110011',0.0001388888888888889,4.5360921162651446e-5,0.5102040816326531,1000.0
'1110001',0,'0111000',0.0002962962962962963,2.6189140043946196e-5,0.5102040816326531,1000.0
'1001001',0,'1010101',0.00025,4.5360921162651446e-5,0.5102040816326531,1000.0
'1000011',0,'1010100',0.0002777777777777778,8.17755635771097e-5,0.5102040816326531,1000.0
'0101011',0,'1001001',0.00019444444444444443,2.268046058132573e-5,0.5102040816326531,1000.0
'0100111',0,'0101101',0.00023148148148148146,0.0001022718612702524,0.5102040816326531,1000.0
'1011000',0,'1011100',0.00018518518518518518,7.290748031492418e-5,0.5102040816326531,1000.0
'1001100',0,'0011011',0.00017592592592592592,2.61891400439462e-5,0.5102040816326531,1000.0
'1110001',0,'0001101',0.0001574074074074074,2.61891400439462e-5,0.5102040816326531,1000.0
'0100011',0,'0110001',0.0002222222222222222,9.886183566695657e-5,0.5102040816326531,1000.0
'1100100',0,'1000101',0.00018518518518518518,3.464497580346242e-5,0.5102040816326531,1000.0
'0010101',0,'0010111',0.00026851851851851847,3.4644975803462416e-5,0.5102040816326531,1000.0
'1100101',0,'1110010',0.00025,2.268046058132572e-5,0.5102040816326531,1000.0
'1101010',0,'0011110',0.00017592592592592592,1.3094570021973098e-5,0.5102040816326531,1000.0
'1000111',0,'1110010',0.0002037037037037037,5.707790743489793e-5,0.5102040816326531,1000.0
'0011011',0,'1001100',0.00025925925925925926,5.707790743489793e-5,0.5102040816326531,1000.0
'0100101',0,'0100111',0.0002037037037037037,5.707790743489793e-5,0.5102040816326531,1000.0
'1011100',0,'0011001',0.00017592592592592592,5.707790743489794e-5,0.5102040816326531,1000.0
'1100100',0,'0111001',0.00023148148148148146,6.547285010986552e-5,0.5102040816326531,1000.0
