states,flag,init,Avg0,SD0,frust0,time
'011001',1,'011001',0.011757575757575758,0.0012625858579393729,0.5,2.881992962135635
'101001',1,'101001',0.011515151515151515,0.001824735662706012,0.5,2.892270260153472
'101100',1,'110100',0.003727272727272727,0.00034015067152490394,0.5,2.8798216132066443
'101001',1,'000000',0.001909090909090909,0.0002969078476100822,0.5,2.892270260153472
'011001',1,'011100',0.003757575757575757,0.00037360084866478637,0.5,2.881992962135635
'010110',1,'010101',0.003848484848484849,0.0006312929289696868,0.5,2.941586544974516
'100101',1,'111111',0.002393939393939394,0.0004942274675848512,0.5,2.9003205812553525
'001110',1,'001110',0.011545454545454545,0.00026762911716144983,0.5,2.8785037350412157
'001101',1,'011001',0.004454545454545454,0.00019638608176993525,0.5,2.942842454936546
'010101',1,'010110',0.003303030303030303,0.00011338355717496787,0.5,2.931401773980531
'010101',1,'010011',0.004666666666666667,0.0008142441722754184,0.5,2.931401773980531
'011100',1,'101100',0.0038181818181818182,0.00026762911716145,0.5,2.910976296752065
'011001',1,'101001',0.003606060606060606,0.0002810187422877486,0.5,2.881992962135635
'110001',1,'010101',0.0032727272727272726,0.0002571297386132901,0.5,2.895542132665694
'110010',1,'101010',0.0032727272727272726,0.00014845392380504111,0.5,2.9614115090958193
'010011',1,'110010',0.0036666666666666666,0.0002810187422877486,0.5,2.807835663054835
'100011',1,'101001',0.004,0.00048673873952148513,0.5,2.84151448633775
'010110',1,'010110',0.010545454545454545,0.0002571297386132907,0.5,2.941586544974516
'100101',1,'110100',0.0036666666666666666,0.0004474188806131333,0.5,2.9003205812553525
'010101',1,'110100',0.004181818181818182,7.422696190252038e-5,0.5,2.931401773980531
'110100',1,'111000',0.003393939393939394,0.00033470790961173517,0.5,2.904157213424489
'001011',1,'010011',0.003818181818181818,0.00039277216353987045,0.5,2.926850971618062
'011010',1,'010110',0.0029090909090909093,0.00048673873952148513,0.5,2.8680854744512003
'011100',1,'000000',0.00196969696969697,0.00040881022918884977,0.5,2.910976296752065
'011001',1,'000000',0.0025757575757575754,0.0006735185082088747,0.5,2.881992962135635
'001110',1,'010110',0.004,0.0005604012729971797,0.5,2.8785037350412157
'001101',1,'010101',0.004151515151515152,0.0003809031845447434,0.5,2.942842454936546
'001110',1,'001101',0.0034242424242424247,0.0006694158192234703,0.5,2.8785037350412157
'010011',1,'110001',0.0038181818181818182,0.00019638608176993533,0.5,2.807835663054835
'011001',1,'111111',0.0020909090909090908,0.00032354782581913073,0.5,2.881992962135635
'100101',1,'100011',0.003515151515151515,0.0002267671143499359,0.5,2.9003205812553525
'011010',1,'011001',0.003818181818181818,0.00034015067152490377,0.5,2.8680854744512003
'111000',1,'111000',0.010545454545454545,0.0005195887333176438,0.5,2.8805179860102363
'001011',1,'101001',0.0040606060606060606,0.000673518508208875,0.5,2.926850971618062
'000111',1,'010011',0.003575757575757576,0.00018680042433239318,0.5,2.88064383053953
'100011',1,'100011',0.010939393939393938,0.00028101874228774853,0.5,2.84151448633775
'011010',1,'111000',0.00393939393939394,0.0003661529082907448,0.5,2.8680854744512003
'011001',1,'111000',0.0036666666666666666,0.00023860629921247913,0.5,2.881992962135635
'101001',1,'101100',0.00409090909090909,0.0008430562268632458,0.5,2.892270260153472
'010101',1,'010101',0.010424242424242424,0.00018680042433239297,0.5,2.931401773980531
'101001',1,'001011',0.0032727272727272726,0.00025712973861329003,0.5,2.892270260153472
'000111',1,'000111',0.011242424242424243,0.0007285342594043212,0.5,2.88064383053953
'001011',1,'001011',0.011515151515151515,0.0007936849002247755,0.5,2.926850971618062
'001011',1,'111111',0.0021515151515151512,0.0005669177858748395,0.5,2.926850971618062
'110001',1,'010011',0.003303030303030303,0.0006225041995204284,0.5,2.895542132665694
'011010',1,'011100',0.0035454545454545456,0.0006470956516382613,0.5,2.8680854744512003
'100110',1,'101100',0.00396969696969697,0.0007508794965675073,0.5,2.913762056807568
