states,flag,init,Avg0,SD0,frust0,time
'101010',1,'100011',0.003424242424242424,0.0002999846950488384,0.4,2.908948907499632
'011001',1,'011001',0.01184848484848485,0.0005266105211206898,0.4,2.8800520107967333
'010101',1,'011100',0.0037575757575757577,0.000482950831833613,0.4,2.915983342358371
'000111',1,'000111',0.010666666666666666,0.000897911053941155,0.4,2.938185062133874
'111000',1,'011010',0.0038787878787878787,0.00011338355717496802,0.4,2.849080783791987
'101001',1,'011001',0.003393939393939394,0.00021427478217774182,0.4,2.901730997082654
'110100',1,'101100',0.0034242424242424247,0.00045353422869987166,0.4,2.9573757476003646
'101010',1,'101010',0.01009090909090909,0.00041327823324199597,0.4,2.908948907499632
'000111',1,'001110',0.004484848484848485,0.000547135457129327,0.4,2.938185062133874
'000111',1,'111111',0.0025757575757575763,0.00018680042433239318,0.4,2.938185062133874
'110100',1,'111111',0.0027575757575757573,0.0006652878303060651,0.4,2.9573757476003646
'100101',1,'101100',0.003969696969696969,0.0003090314856722899,0.4,2.9517805213785557
'100110',1,'010110',0.003969696969696969,0.000639960972180087,0.4,2.8741523849000483
'011001',1,'001101',0.0034545454545454545,0.0002676291171614499,0.4,2.8800520107967333
'110010',1,'110010',0.01221212121212121,0.0008793101896089037,0.4,2.853873267755702
'010101',1,'001101',0.0041818181818181815,0.0004515049825985253,0.4,2.915983342358371
'101100',1,'101100',0.011424242424242425,0.0006856793029687735,0.4,2.9386485986161794
'110010',1,'010011',0.003969696969696969,0.0008666878573378843,0.4,2.853873267755702
'110001',1,'101001',0.0038787878787878787,0.00017141982574219337,0.4,2.8871030533859154
'011100',1,'011010',0.004151515151515152,0.00033470790961173517,0.4,2.872769764693626
'101100',1,'101010',0.003636363636363637,0.00039277216353987045,0.4,2.9386485986161794
'101010',1,'000000',0.0023636363636363633,0.00019638608176993525,0.4,2.908948907499632
'101100',1,'011100',0.0036060606060606057,0.0004942274675848513,0.4,2.9386485986161794
'101001',1,'101100',0.004363636363636364,0.00026762911716144994,0.4,2.901730997082654
'100101',1,'101001',0.0032121212121212126,0.0002999846950488384,0.4,2.9517805213785557
'001101',1,'001101',0.01009090909090909,0.00029690784761008223,0.4,2.8425156369858975
'000111',1,'001011',0.00393939393939394,0.00022676711434993575,0.4,2.938185062133874
'110001',1,'110001',0.010666666666666666,0.0011338355717496794,0.4,2.8871030533859154
'101100',1,'110100',0.0032727272727272726,0.0002571297386132901,0.4,2.9386485986161794
'110100',1,'110100',0.011454545454545453,0.0012353828551902733,0.4,2.9573757476003646
'110001',1,'011001',0.0031818181818181815,0.00012856486930664494,0.4,2.8871030533859154
'010110',1,'111111',0.0020909090909090908,0.0003401506715249039,0.4,2.9027173627530476
'010011',1,'110010',0.003787878787878788,0.0006896852531358208,0.4,2.8930303480224517
'110001',1,'000000',0.00196969696969697,0.00023860629921247916,0.4,2.8871030533859154
'011010',1,'011010',0.010787878787878789,8.570991287109689e-5,0.4,2.8555608355420024
'010101',1,'111111',0.0023636363636363633,0.0002676291171614499,0.4,2.915983342358371
'010110',1,'110010',0.004121212121212122,0.0006735185082088748,0.4,2.9027173627530476
'110010',1,'011010',0.003727272727272727,0.00019638608176993514,0.4,2.853873267755702
'000111',1,'100110',0.00393939393939394,0.0010132274846848782,0.4,2.938185062133874
'001011',1,'111111',0.0020909090909090908,0.0003235478258191307,0.4,2.8951473687679514
'001011',1,'010011',0.004454545454545455,7.422696190252038e-5,0.4,2.8951473687679514
'101010',1,'101001',0.004090909090909091,0.0006075738683564674,0.4,2.908948907499632
'010101',1,'010101',0.011666666666666667,0.0005471354571293267,0.4,2.915983342358371
'110100',1,'110001',0.004151515151515152,0.00037360084866478653,0.4,2.9573757476003646
'011001',1,'000000',0.002212121212121212,0.00026067652324371604,0.4,2.8800520107967333
'011100',1,'000000',0.002606060606060606,0.0004220723720358824,0.4,2.872769764693626
'100101',1,'100101',0.011393939393939394,0.00037360084866478604,0.4,2.9517805213785557
'100110',1,'100110',0.011242424242424243,0.0007936849002247754,0.4,2.8741523849000483
'101010',1,'101100',0.004545454545454545,0.001166568276055767,0.4,2.908948907499632
'101100',1,'100101',0.003909090909090909,0.00022268088570756152,0.4,2.9386485986161794
'110001',1,'010011',0.003787878787878788,0.0004942274675848514,0.4,2.8871030533859154
'100011',1,'101010',0.003727272727272727,0.0005604012729971796,0.4,2.9301448419632385
'100110',1,'000000',0.0021515151515151517,0.0002999846950488384,0.4,2.8741523849000483
'001101',1,'010101',0.0036060606060606057,0.00040881022918884993,0.4,2.8425156369858975
'101100',1,'111111',0.0023030303030303033,0.00028101874228774864,0.4,2.9386485986161794
'100101',1,'110100',0.0035454545454545456,0.0004132782332419958,0.4,2.9517805213785557
'110010',1,'100011',0.003787878787878788,0.0006856793029687732,0.4,2.853873267755702
'010101',1,'110001',0.003636363636363637,0.00014845392380504111,0.4,2.915983342358371
'001101',1,'101100',0.0041818181818181815,0.0006075738683564673,0.4,2.8425156369858975
'100011',1,'100101',0.003848484848484849,0.000916134330777635,0.4,2.9301448419632385
'010110',1,'110100',0.004242424242424243,0.00034283965148438673,0.4,2.9027173627530476
'011100',1,'101100',0.0038787878787878787,0.0005571144336621284,0.4,2.872769764693626
'011001',1,'010101',0.0040606060606060606,0.00047140452079103186,0.4,2.8800520107967333
'001011',1,'101010',0.003484848484848485,0.0007132486239963526,0.4,2.8951473687679514
'000111',1,'010011',0.003848484848484849,0.000639960972180087,0.4,2.938185062133874
'001110',1,'001110',0.010606060606060605,0.00029998469504883836,0.4,2.872136886784673
'110001',1,'010101',0.003515151515151515,0.0005669177858748396,0.4,2.8871030533859154
'111000',1,'000000',0.002484848484848485,0.0006045435558563638,0.4,2.849080783791987
'100101',1,'100110',0.003848484848484848,8.570991287109668e-5,0.4,2.9517805213785557
'011010',1,'011001',0.004,0.00046354722850843486,0.4,2.8555608355420024
'011001',1,'011010',0.003909090909090909,0.0001484539238050413,0.4,2.8800520107967333
'011100',1,'010101',0.003848484848484849,0.0004772125984249582,0.4,2.872769764693626
'011100',1,'001110',0.003787878787878788,0.00029998469504883825,0.4,2.872769764693626
'110010',1,'100110',0.0034545454545454545,0.0006680426571226849,0.4,2.853873267755702
'001011',1,'101001',0.003969696969696969,0.0004220723720358822,0.4,2.8951473687679514
'100011',1,'100011',0.010606060606060605,0.0004349303058911308,0.4,2.9301448419632385
'010011',1,'010011',0.010878787878787878,0.0006045435558563637,0.4,2.8930303480224517
'110100',1,'011100',0.0031515151515151517,0.00028101874228774875,0.4,2.9573757476003646
'100101',1,'001101',0.00390909090909091,0.00044536177141512337,0.4,2.9517805213785557
'000111',1,'100011',0.003727272727272727,0.0007855443270797404,0.4,2.938185062133874
'101001',1,'111111',0.002333333333333333,0.0004535342286998717,0.4,2.901730997082654
'010011',1,'011010',0.003848484848484849,0.000154515742836145,0.4,2.8930303480224517
'011010',1,'001011',0.003848484848484848,0.00033470790961173517,0.4,2.8555608355420024
'001011',1,'001101',0.003575757575757576,0.0004942274675848514,0.4,2.8951473687679514
'000111',1,'000000',0.002393939393939394,0.0003661529082907445,0.4,2.938185062133874
'110001',1,'110010',0.003969696969696969,0.0003661529082907445,0.4,2.8871030533859154
'011100',1,'011100',0.011636363636363637,0.000843056226863246,0.4,2.872769764693626
'101100',1,'001110',0.0037575757575757577,0.00028101874228774853,0.4,2.9386485986161794
'010110',1,'000000',0.0025757575757575754,8.570991287109668e-5,0.4,2.9027173627530476
'101001',1,'101010',0.0036060606060606057,0.0004535342286998717,0.4,2.901730997082654
'010101',1,'010110',0.004,0.0004515049825985254,0.4,2.915983342358371
'111000',1,'011100',0.003666666666666667,0.00030903148567229007,0.4,2.849080783791987
'001110',1,'101100',0.003787878787878788,0.00040881022918884977,0.4,2.872136886784673
'100101',1,'110001',0.0038181818181818182,0.0005195887333176437,0.4,2.9517805213785557
'010011',1,'010110',0.004121212121212122,0.0009800582805331046,0.4,2.8930303480224517
'001101',1,'100101',0.004212121212121212,0.0005953600819511666,0.4,2.8425156369858975
'100011',1,'100110',0.0040606060606060606,0.0005999693900976766,0.4,2.9301448419632385
'010101',1,'110100',0.004121212121212122,0.0008342969635112852,0.4,2.915983342358371
'100110',1,'100101',0.003575757575757576,0.00023860629921247902,0.4,2.8741523849000483
'101100',1,'101001',0.0034848484848484847,0.0006180629713445801,0.4,2.9386485986161794
'110001',1,'111000',0.004,0.0010391774666352878,0.4,2.8871030533859154
'100110',1,'101100',0.004363636363636364,0.00041327823324199565,0.4,2.8741523849000483
'011010',1,'010110',0.00409090909090909,0.00034015067152490377,0.4,2.8555608355420024
'111000',1,'011001',0.004151515151515152,0.0006312929289696864,0.4,2.849080783791987
'010101',1,'011001',0.004121212121212121,0.0005571144336621282,0.4,2.915983342358371
'100011',1,'110010',0.004151515151515152,0.00018680042433239335,0.4,2.9301448419632385
'011010',1,'011100',0.004333333333333334,0.0006312929289696868,0.4,2.8555608355420024
'001101',1,'011100',0.003969696969696969,0.00042854956435548326,0.4,2.8425156369858975
'101010',1,'011010',0.003575757575757576,0.0006045435558563637,0.4,2.908948907499632
'101001',1,'101001',0.010484848484848486,0.0015856333881152887,0.4,2.901730997082654
'011001',1,'111000',0.003848484848484849,0.00043493030589113126,0.4,2.8800520107967333
'010110',1,'010110',0.01196969696969697,0.0002999846950488383,0.4,2.9027173627530476
'011001',1,'011100',0.004272727272727273,0.00014845392380504111,0.4,2.8800520107967333
'100011',1,'110001',0.0033333333333333335,0.00015451574283614506,0.4,2.9301448419632385
'001110',1,'000111',0.0036060606060606057,0.00047721259842495816,0.4,2.872136886784673
'001011',1,'000000',0.002181818181818182,0.00012856486930664494,0.4,2.8951473687679514
'110100',1,'010110',0.0030909090909090908,0.00037113480951260285,0.4,2.9573757476003646
'011100',1,'001101',0.004666666666666666,0.0006225041995204284,0.4,2.872769764693626
'010110',1,'010011',0.003818181818181818,0.00041327823324199565,0.4,2.9027173627530476
'100011',1,'101001',0.0036969696969696973,0.00028101874228774875,0.4,2.9301448419632385
'110001',1,'110100',0.004030303030303031,0.000482950831833613,0.4,2.8871030533859154
'101001',1,'110001',0.0033333333333333335,0.00021427478217774163,0.4,2.901730997082654
'111000',1,'111000',0.010939393939393938,0.00042207237203588274,0.4,2.849080783791987
'101001',1,'100011',0.003393939393939394,0.00048295083183361295,0.4,2.901730997082654
'111000',1,'101001',0.0038787878787878787,0.00018680042433239335,0.4,2.849080783791987
'110010',1,'010110',0.004121212121212122,0.00028101874228774875,0.4,2.853873267755702
'101010',1,'001011',0.003363636363636364,0.0005604012729971796,0.4,2.908948907499632
'110001',1,'100011',0.003727272727272727,0.0003235478258191307,0.4,2.8871030533859154
'010101',1,'100101',0.003969696969696969,0.0001868004243323932,0.4,2.915983342358371
'100110',1,'110100',0.0036666666666666666,0.0008276666838634947,0.4,2.8741523849000483
'100110',1,'110010',0.003636363636363637,0.00048673873952148513,0.4,2.8741523849000483
'001011',1,'000111',0.003818181818181818,0.00039277216353987045,0.4,2.8951473687679514
'001110',1,'010110',0.003636363636363637,0.00048673873952148513,0.4,2.872136886784673
'001101',1,'000111',0.004666666666666666,0.0009398825708648983,0.4,2.8425156369858975
'100101',1,'100011',0.003727272727272727,0.00048673873952148524,0.4,2.9517805213785557
'010011',1,'111111',0.0021212121212121214,0.0004285495643554835,0.4,2.8930303480224517
'011010',1,'000000',0.0019393939393939393,0.00026067652324371593,0.4,2.8555608355420024
'110100',1,'000000',0.002393939393939394,0.00043493030589113104,0.4,2.9573757476003646
'001101',1,'111111',0.00196969696969697,0.00015451574283614503,0.4,2.8425156369858975
'100011',1,'010011',0.00403030303030303,0.0008855538906789368,0.4,2.9301448419632385
'001101',1,'011001',0.004272727272727273,0.00012856486930664494,0.4,2.8425156369858975
'001011',1,'001011',0.010545454545454545,0.0008364953782934702,0.4,2.8951473687679514
'001110',1,'101010',0.004090909090909091,0.00026762911716145005,0.4,2.872136886784673
'011100',1,'110100',0.0038181818181818182,0.0005352582343228998,0.4,2.872769764693626
'000111',1,'100101',0.004121212121212122,0.00029998469504883857,0.4,2.938185062133874
'001110',1,'011100',0.003848484848484848,0.000673518508208875,0.4,2.872136886784673
'010110',1,'001110',0.0038787878787878787,0.000743505705841533,0.4,2.9027173627530476
'110010',1,'111000',0.00390909090909091,0.00019638608176993528,0.4,2.853873267755702
'101010',1,'100110',0.0036969696969696973,0.0005669177858748398,0.4,2.908948907499632
'110010',1,'101010',0.003424242424242424,0.0002999846950488384,0.4,2.853873267755702
'001110',1,'000000',0.002303030303030303,0.0004772125984249583,0.4,2.872136886784673
'100110',1,'000111',0.003787878787878788,0.00040881022918884977,0.4,2.8741523849000483
'110010',1,'110001',0.003909090909090909,7.422696190252056e-5,0.4,2.853873267755702
'011001',1,'110001',0.00393939393939394,0.0002999846950488385,0.4,2.8800520107967333
'010011',1,'000000',0.0024242424242424242,0.0005052524848646383,0.4,2.8930303480224517
'101010',1,'001110',0.003787878787878788,0.00022676711434993594,0.4,2.908948907499632
'011010',1,'110010',0.0035454545454545456,0.0006597436683962799,0.4,2.8555608355420024
'100101',1,'010101',0.0031212121212121214,0.00026067652324371593,0.4,2.9517805213785557
'001110',1,'001011',0.003909090909090909,0.0005604012729971795,0.4,2.872136886784673
'010011',1,'001011',0.004,0.0005797311051426964,0.4,2.8930303480224517
'010011',1,'010101',0.003909090909090909,0.0,0.4,2.8930303480224517
'011001',1,'111111',0.002424242424242424,0.00035078293644818864,0.4,2.8800520107967333
'100101',1,'111111',0.0022424242424242424,0.00052661052112069,0.4,2.9517805213785557
'011001',1,'001011',0.004,0.000519588733317644,0.4,2.8800520107967333
'001110',1,'111111',0.0018484848484848484,0.00043493030589113104,0.4,2.872136886784673
'100110',1,'111111',0.0024545454545454545,0.0003401506715249037,0.4,2.8741523849000483
'110100',1,'010101',0.004151515151515152,0.00017141982574219337,0.4,2.9573757476003646
'011001',1,'010011',0.0034545454545454545,0.00034015067152490377,0.4,2.8800520107967333
'101100',1,'000000',0.0021515151515151512,0.00030903148567228996,0.4,2.9386485986161794
'101100',1,'001101',0.00409090909090909,0.00012856486930664494,0.4,2.9386485986161794
'001101',1,'001011',0.00393939393939394,0.00021427478217774182,0.4,2.8425156369858975
'001011',1,'100011',0.003575757575757576,0.00011338355717496783,0.4,2.8951473687679514
'101001',1,'100101',0.00390909090909091,0.00012856486930664515,0.4,2.901730997082654
'100011',1,'000111',0.0035454545454545456,0.00014845392380504095,0.4,2.9301448419632385
'011010',1,'010011',0.0043030303030303025,0.00022676711434993572,0.4,2.8555608355420024
'001110',1,'001101',0.003757575757575757,0.00011338355717496787,0.4,2.872136886784673
'011010',1,'001110',0.00396969696969697,0.00035078293644818885,0.4,2.8555608355420024
'111000',1,'101100',0.003787878787878788,0.000482950831833613,0.4,2.849080783791987
'100110',1,'101010',0.004484848484848485,0.00017141982574219337,0.4,2.8741523849000483
'110100',1,'110010',0.004212121212121212,0.000154515742836145,0.4,2.9573757476003646
'001110',1,'011010',0.003696969696969697,0.00033470790961173533,0.4,2.872136886784673
'001101',1,'000000',0.002393939393939394,0.000482950831833613,0.4,2.8425156369858975
'010110',1,'100110',0.003636363636363637,0.0002676291171614499,0.4,2.9027173627530476
'110100',1,'100101',0.0034848484848484847,0.00040881022918884977,0.4,2.9573757476003646
'011100',1,'111000',0.003818181818181818,0.0006428243465332251,0.4,2.872769764693626
'100101',1,'000000',0.0023030303030303033,0.00017141982574219337,0.4,2.9517805213785557
'101010',1,'110010',0.0033333333333333327,0.00030903148567229007,0.4,2.908948907499632
'111000',1,'110100',0.003969696969696969,0.00042207237203588225,0.4,2.849080783791987
'101100',1,'111000',0.003636363636363637,0.00029690784761008223,0.4,2.9386485986161794
'100110',1,'001110',0.0038787878787878787,0.0006694158192234706,0.4,2.8741523849000483
'011100',1,'011001',0.0037575757575757577,0.00023860629921247924,0.4,2.872769764693626
'011010',1,'101010',0.00393939393939394,0.0004088102291888496,0.4,2.8555608355420024
'100101',1,'000111',0.003484848484848485,0.0007015658728963775,0.4,2.9517805213785557
'010011',1,'110001',0.003727272727272727,0.00022268088570756168,0.4,2.8930303480224517
'001011',1,'011010',0.0040606060606060606,0.00030903148567229,0.4,2.8951473687679514
'100011',1,'111111',0.0025151515151515154,0.000521353046487432,0.4,2.9301448419632385
'111000',1,'110001',0.004121212121212121,0.00018680042433239335,0.4,2.849080783791987
'011100',1,'010110',0.0035454545454545456,0.00019638608176993514,0.4,2.872769764693626
'000111',1,'001101',0.0031212121212121214,0.0008342969635112852,0.4,2.938185062133874
'010110',1,'000111',0.003303030303030303,4.285495643554844e-5,0.4,2.9027173627530476
'111000',1,'110010',0.003727272727272727,0.00029690784761008223,0.4,2.849080783791987
'110100',1,'111000',0.0037575757575757577,0.0002267671143499359,0.4,2.9573757476003646
'110010',1,'110100',0.003727272727272727,0.00046354722850843486,0.4,2.853873267755702
'111000',1,'101010',0.0038181818181818182,0.000519588733317644,0.4,2.849080783791987
'110001',1,'100101',0.003393939393939394,0.00018680042433239318,0.4,2.8871030533859154
'010011',1,'100011',0.0043030303030303025,0.0006735185082088746,0.4,2.8930303480224517
'101010',1,'111000',0.0040606060606060606,0.00011338355717496792,0.4,2.908948907499632
'111000',1,'111111',0.0018181818181818184,0.0003856946079199349,0.4,2.849080783791987
'000111',1,'010110',0.0036060606060606057,0.0006735185082088747,0.4,2.938185062133874
'001011',1,'011001',0.004030303030303031,0.0006694158192234701,0.4,2.8951473687679514
'001011',1,'001110',0.003515151515151515,0.0003507829364481886,0.4,2.8951473687679514
'011100',1,'111111',0.0027878787878787884,0.000154515742836145,0.4,2.872769764693626
'110100',1,'100110',0.0034545454545454545,0.00014845392380504111,0.4,2.9573757476003646
'010011',1,'000111',0.0037575757575757577,0.00011338355717496787,0.4,2.8930303480224517
'101001',1,'111000',0.0038787878787878787,8.570991287109668e-5,0.4,2.901730997082654
'010011',1,'011001',0.0034545454545454545,0.0003401506715249037,0.4,2.8930303480224517
'010101',1,'000111',0.0034545454545454545,7.422696190252056e-5,0.4,2.915983342358371
'101001',1,'001101',0.0041818181818181815,0.0006470956516382613,0.4,2.901730997082654
'010101',1,'010011',0.0038787878787878787,0.0003090314856722899,0.4,2.915983342358371
'100110',1,'100011',0.0034848484848484847,0.0003661529082907446,0.4,2.8741523849000483
'000111',1,'010101',0.003515151515151515,0.00030903148567229007,0.4,2.938185062133874
'100011',1,'001011',0.004121212121212121,0.0006180629713445801,0.4,2.9301448419632385
'001101',1,'101001',0.003818181818181818,0.001031193910737791,0.4,2.8425156369858975
'010110',1,'011010',0.003969696969696969,0.0013531583976827944,0.4,2.9027173627530476
'011010',1,'111111',0.0023636363636363633,0.00037113480951260274,0.4,2.8555608355420024
'001110',1,'100110',0.0036060606060606057,0.0004942274675848513,0.4,2.872136886784673
'010110',1,'010101',0.00390909090909091,0.0008265564664839913,0.4,2.9027173627530476
'011001',1,'101001',0.003787878787878788,0.00018680042433239318,0.4,2.8800520107967333
'010101',1,'000000',0.002060606060606061,0.00026067652324371604,0.4,2.915983342358371
'011010',1,'111000',0.0034848484848484847,0.0002999846950488383,0.4,2.8555608355420024
'010110',1,'011100',0.0035757575757575755,0.00035078293644818864,0.4,2.9027173627530476
'110010',1,'111111',0.0027575757575757577,8.570991287109668e-5,0.4,2.853873267755702
'101001',1,'001011',0.0032424242424242424,0.0007581815759513214,0.4,2.901730997082654
'001101',1,'001110',0.003606060606060606,0.0002810187422877486,0.4,2.8425156369858975
'100011',1,'000000',0.002393939393939394,0.00047721259842495827,0.4,2.9301448419632385
'110001',1,'111111',0.002272727272727273,0.0006803013430498075,0.4,2.8871030533859154
'101010',1,'111111',0.0024545454545454545,0.00026762911716145005,0.4,2.908948907499632
'110010',1,'000000',0.0021212121212121214,0.00034283965148438673,0.4,2.853873267755702
'101100',1,'100110',0.00390909090909091,0.0002676291171614499,0.4,2.9386485986161794
'101001',1,'000000',0.0019393939393939393,0.0003347079096117353,0.4,2.901730997082654
